Job_Role,Company_name,Location,Desired_Experience,Skills_Required,Salary_Expected,Education
"data scientist - machine learning
catalyst
hiring for leading client",catalyst,['bengaluru'],2 - 7 years,"['key skills', 'data sciencedata qualitydata scientiststatistical modelingstatistical analystmachine learning']",not disclosed,"['education', 'ug :bca in computers, b.sc in any specialization, b.tech/b.e. in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"data scientist
aryng",aryng,['india'],5 - 10 years,"['key skills', 'data sciencedata scientistdata managementdata modelingdata analyticsmachine learninganalytics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"data scientist - r/python - iit/nit/bits
eic tec hsys",eic tec hsys,['delhi/ncr delhi ncr'],3 - 8 years,"['key skills', 'data sciencerelasticsearchdata scientistdata managementmysqlstatistical modelingdata miningalgorithmmachine learningpython']",not disclosed,"['education', 'ug :bca in computers, b.sc in any specialization, b.tech/b.e. in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"senior data scientist
cognial artificial intelligence solutions pvt ltd.",cognial artificial intelligence solutions pvt ltd.,['hyderabad'],4 - 6 years,"['key skills', 'nlpmachine learninganalyticsocr']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization']"
"looking for sr. data scientist/lead
shore infotech india pvt. ltd",shore infotech india pvt. ltd,['hyderabad'],10 - 14 years,"['key skills', 'nlpcloudsparkmachine learningawssqlpythonpanda']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"data scientist & senior data scientist
ttec digital analytics india llp",ttec digital analytics india llp,['hyderabad'],5 - 10 years,"['key skills', 'predictive modelingpysparksasadvanced analyticsbig datastatisticsawspython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'doctorate :ph.d in statistics']"
"hiring for data scientist ( 8- 12 yrs) for bangalore iqvia
iqvia rds india pvt ltd",iqvia rds india pvt ltd,['bengaluru'],8 - 13 years,"['key skills', 'nltktensorflownlpartificial intelligencenatural language processingreinforcement learninginformation extractioninformation retrievalmachine learningpython']","₹ 15,00,000 - 25,00,000 p.a.","['education', 'ug :any graduate in any specialization']"
"data scientist
course5i intelligence pvt ltd",course5i intelligence pvt ltd,['bengaluru'],2 - 5 years,"['key skills', 'computer scienceneural networksartificial intelligencemachine learninghttpdata visualizationdata miningforecastingsqlpython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"principal data scientist
go-jek3.5(2 reviews)",go-jek3.5(2 reviews),['bengaluru'],6 - 12 years,"['key skills', 'unixcomputer sciencesimulationdata sciencemachine learningresearchdistribution systemforecastingpythonlogistics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"junior data scientist
larsen & toubro infotech limited3.6(1653 reviews)",larsen & toubro infotech limited3.6(1653 reviews),['india'],3 - 8 years,"['key skills', 'cluster analysisstatistical modelinganalyticalmachine learningmanager technologydatabasemathematicsdata miningpythontext analytics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"data scientist
neenopal intelligent solutions pvt. ltd.",neenopal intelligent solutions pvt. ltd.,['bengaluru'],2 - 6 years,"['key skills', 'supply chaindata sciencecodingneural networksanalyticalmachine learningforecastingsqlpythonlogistics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data scientist
mobiotics it solution pvt ltd5.0(9 reviews)",mobiotics it solution pvt ltd5.0(9 reviews),['bengaluru( hsr layout )'],2 - 5 years,"['key skills', 'big data analyticselkpostgresqlcassandrakafkajupyter notebookmachine learningnumpydeep learningredshiftpandadata sciencepytorchnlpkinesismysqlkerasmongodbdata modelingsparkawspythonpredictive analytics']","₹ 5,00,000 - 10,00,000 p.a.","['education', 'ug :b.tech/b.e. in computers', 'pg :ms/m.sc(science) in computers, data informatics, m.tech in computers']"
"data scientist, machine learning
execboardinasia",execboardinasia,['bengaluru'],5 - 10 years,"['key skills', 'customer segmentationanalyticalartificial intelligenceconsultingmachine learningresearchbusiness solutionsforecastinganalyticsmonitoring']",not disclosed,"['education', 'ug :b.tech/b.e. in computers', 'pg :post graduation not required']"
"data scientist
siemens gamesa renewable energy4.3(365 reviews)",siemens gamesa renewable energy4.3(365 reviews),['bengaluru'],4 - 9 years,"['key skills', 'renewable energybig data analyticsit infrastructuredata architectrelationshipsiemensdeploymentdata qualityopen sourceanalytics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data scientist
vlogix technologies pvt. ltd.,","vlogix technologies pvt. ltd.,","['chennai( okkiyam thuraipakkam )', ' bengaluru']",5 - 7 years,"['key skills', 'algorithmspythondata analysisdata sciencerdbmsdata miningnumpystatistical analysismachine learningstatisticspanda']","₹ 7,00,000 - 10,00,000 p.a.","['education', 'ug :b.tech/b.e. in computers', 'pg :m.tech in computers, any specialization', 'doctorate :ph.d in computers, any doctorate in any specialization']"
"lead data scientist (banking operations)
snaphunt",snaphunt,['bengaluru'],8 - 13 years,"['key skills', 'data scienceclearingfinancial servicesbanking operationslinuxmachine learningstatistical analysisstatisticspythonsql']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"data scientist
catalyst",catalyst,['bengaluru'],3 - 7 years,"['key skills', 'data scientistdata sciencedeep learningdata crunchingpredictivepython / sparkdatadata visualizationmachine learning']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization, computers', 'pg :m.tech in computers, any specialization, mca in computers', 'doctorate :ph.d in statistics, computers']"
"data scientist - python/ sql
catalyst",catalyst,['bengaluru'],2 - 7 years,"['key skills', 'data sciencejavarnlpalgorithmsdata scientistmachine learningstatistical analysisstatisticspythonsql']",not disclosed,"['education', 'ug :b.a in statistics, maths, b.tech/b.e. in computers, b.sc in maths, statistics', 'pg :any postgraduate in any specialization', 'doctorate :any doctorate in any specialization, doctorate not required']"
